                                                                            D-MEM Bus &
Cycle:      IF      |     ID      |     EX      |     MEM     |     WB      Reg Result
  383:   24:-       |  20:addq    |  20:-       |  20:-       |  20:-       
  384:   24:-       |  24:-       |  20:addq    |  20:-       |  20:-       
  385:   24:-       |  24:-       |  24:-       |  20:addq    |  20:-       
  386:   24:-       |  24:-       |  24:-       |  24:-       |  20:addq    r3=4160  
  387:   24:addq    |  24:-       |  24:-       |  24:-       |  24:-       
  388:   28:-       |  24:addq    |  24:-       |  24:-       |  24:-       
  389:   28:-       |  28:-       |  24:addq    |  24:-       |  24:-       
  390:   28:-       |  28:-       |  28:-       |  24:addq    |  24:-       
  391:   28:-       |  28:-       |  28:-       |  28:-       |  24:addq    r2=15  
  392:   28:cmple   |  28:-       |  28:-       |  28:-       |  28:-       
  393:   32:-       |  28:cmple   |  28:-       |  28:-       |  28:-       
  394:   32:-       |  32:-       |  28:cmple   |  28:-       |  28:-       
  395:   32:-       |  32:-       |  32:-       |  28:cmple   |  28:-       
  396:   32:-       |  32:-       |  32:-       |  32:-       |  28:cmple   r1=1  
  397:   32:bne     |  32:-       |  32:-       |  32:-       |  32:-       
  398:   36:-       |  32:bne     |  32:-       |  32:-       |  32:-       
  399:   36:-       |  36:-       |  32:bne     |  32:-       |  32:-       BUS_LOAD  MEM[32] accepted 1
  400:   36:-       |  36:-       |  36:-       |  32:bne     |  32:-       
  401:   12:-       |  36:-       |  36:-       |  36:-       |  32:bne     
  402:   12:blbs    |  12:-       |  36:-       |  36:-       |  36:-       
  403:   16:-       |  12:blbs    |  12:-       |  36:-       |  36:-       
  404:   16:-       |  16:-       |  12:blbs    |  12:-       |  36:-       
  405:   16:-       |  16:-       |  16:-       |  12:blbs    |  12:-       
  406:   24:-       |  16:-       |  16:-       |  16:-       |  12:blbs    
  407:   24:addq    |  24:-       |  16:-       |  16:-       |  16:-       
  408:   28:-       |  24:addq    |  24:-       |  16:-       |  16:-       
  409:   28:-       |  28:-       |  24:addq    |  24:-       |  16:-       
  410:   28:-       |  28:-       |  28:-       |  24:addq    |  24:-       
  411:   28:-       |  28:-       |  28:-       |  28:-       |  24:addq    r2=16  
  412:   28:cmple   |  28:-       |  28:-       |  28:-       |  28:-       
  413:   32:-       |  28:cmple   |  28:-       |  28:-       |  28:-       
  414:   32:-       |  32:-       |  28:cmple   |  28:-       |  28:-       
  415:   32:-       |  32:-       |  32:-       |  28:cmple   |  28:-       
  416:   32:-       |  32:-       |  32:-       |  32:-       |  28:cmple   r1=0  
  417:   32:bne     |  32:-       |  32:-       |  32:-       |  32:-       
  418:   36:-       |  32:bne     |  32:-       |  32:-       |  32:-       
  419:   36:-       |  36:-       |  32:bne     |  32:-       |  32:-       BUS_LOAD  MEM[32] accepted 1
  420:   36:-       |  36:-       |  36:-       |  32:bne     |  32:-       
  421:   36:-       |  36:-       |  36:-       |  36:-       |  32:bne     
  422:   36:-       |  36:-       |  36:-       |  36:-       |  36:-       
  423:   36:-       |  36:-       |  36:-       |  36:-       |  36:-       
  424:   36:halt    |  36:-       |  36:-       |  36:-       |  36:-       
  425:   40:-       |  36:halt    |  36:-       |  36:-       |  36:-       
  426:   40:-       |  40:-       |  36:halt    |  36:-       |  36:-       
  427:   40:-       |  40:-       |  40:-       |  36:halt    |  36:-       
  428:   40:-       |  40:-       |  40:-       |  40:-       |  36:halt    
